"Subject","Match","Morality","Identity","Ntrials","corrTrials","ACC","RT"
7019,"nonmatch","Bad","Self",60,50,0.833333333333333,814.908
7019,"nonmatch","Good","Other",60,37,0.616666666666667,799.845945945946
7019,"nonmatch","Good","Self",60,33,0.55,821.472727272727
7020,"match","Bad","Other",60,53,0.883333333333333,834.158490566038
7020,"match","Bad","Self",60,57,0.95,794.322807017544
7020,"match","Good","Other",60,48,0.8,813.383333333333
7020,"match","Good","Self",60,59,0.983333333333333,725.491525423729
7020,"nonmatch","Bad","Other",60,55,0.916666666666667,856.470909090909
7020,"nonmatch","Bad","Self",60,54,0.9,866.168518518519
7020,"nonmatch","Good","Other",60,51,0.85,848.007843137255
7020,"nonmatch","Good","Self",60,51,0.85,829.537254901961
7022,"match","Bad","Other",60,46,0.766666666666667,847.952173913043
7022,"match","Bad","Self",60,22,0.366666666666667,931.518181818182
7022,"match","Good","Other",60,57,0.95,687.929824561404
7022,"match","Good","Self",60,38,0.633333333333333,779.584210526316
7022,"nonmatch","Bad","Other",60,45,0.75,921.097777777778
7022,"nonmatch","Bad","Self",60,43,0.716666666666667,876.546511627907
