,mean,std,2.5q,25q,50q,75q,97.5q,mc err
v_subj(Self.Good).7307,2.60981386017,0.285484926815,2.05957959637,2.41494054815,2.60861176843,2.80314622153,3.17262597906,0.00466397586424
v_subj(Self.Bad).7308,1.5796699358,0.259637716287,1.06963957825,1.40360721419,1.57771981554,1.75757183956,2.08705658623,0.0035473507035
v_subj(Self.Good).7308,3.28202801057,0.310262644927,2.67789932921,3.07195946612,3.28204962463,3.49030254998,3.90252254846,0.00482912266685
v_subj(Self.Bad).7309,1.67645643571,0.282798660802,1.12539167084,1.48048350111,1.67710505415,1.86611458139,2.23960254742,0.00598045915327
v_subj(Self.Good).7309,3.7154081634,0.362703813506,3.02277843861,3.46581592762,3.70932040041,3.9574673297,4.43122167284,0.00616974934541
v_subj(Self.Bad).7310,3.13532225943,0.296990259833,2.55608886232,2.9416790061,3.13226235336,3.32863932045,3.73422320713,0.00473240224892
v_subj(Self.Good).7310,3.60355868509,0.332354411343,2.96423194806,3.37840728505,3.5991129952,3.82652852292,4.26344313501,0.00510746810385
v_subj(Self.Bad).7311,3.27439116802,0.35733141357,2.62502856384,3.02950909406,3.25423809859,3.50550072866,4.00986140462,0.00738467953784
v_subj(Self.Good).7311,2.57278193935,0.290563991695,2.01359807543,2.37480123868,2.56916808836,2.76435916494,3.14664828748,0.0046767931414
v_subj(Self.Bad).7312,2.49283713937,0.263879766499,1.97784716332,2.31354979141,2.49311108414,2.66837356967,3.02449422194,0.00405688082292
v_subj(Self.Good).7312,3.30682468587,0.291126121781,2.74190938951,3.10888973697,3.30567654285,3.50365400754,3.88624908916,0.00486857860939
v_subj(Self.Bad).7313,0.13420992712,0.251739171129,-0.347778241946,-0.0372360963102,0.131872665377,0.301396511096,0.631425904841,0.0034186390114
v_subj(Self.Good).7313,0.381057466135,0.242598934433,-0.0930584991962,0.2178456414,0.38015915773,0.54268288451,0.857174242148,0.00354068686072
v_subj(Self.Bad).7314,2.17604904351,0.30409045136,1.60131065315,1.97021084333,2.16745403113,2.37449263176,2.81254428848,0.00859514302375
v_subj(Self.Good).7314,2.70067586315,0.271617950924,2.1730763535,2.51570999153,2.69558887257,2.87907572535,3.24963185292,0.00406269540281
v_subj(Self.Bad).7315,2.25751291332,0.261316967322,1.75020588032,2.0827967393,2.25420258413,2.43348828766,2.77586231715,0.00361447868375
